X	Y
0	-6588001.500
1	-6479078.000
2	-6991022.500
3	-7042542.500
4	-7113645.000
5	-7174817.000
6	-7160798.500
7	-7054880.000
8	-6867558.500
9	-6623787.500
10	-6314092.500
11	-5948849.500
12	-5555829.000
13	-5148981.500
14	-4702328.000
15	-4194745.000
16	-3680313.750
17	-3181114.000
18	-2691578.750
19	-2244347.250
20	-1906811.625
21	-1659643.875
22	-1497404.000
23	-1463356.000
24	-1660027.750
25	-2141563.250
26	-2853498.500
27	-3674873.500
28	-4510840.500
29	-5310263.500
30	-6000822.500
31	-6558769.500
32	-6956205.000
33	-7218988.500
34	-7367655.000
35	-7405218.000
36	-7392733.000
37	-7357468.500
38	-7288863.500
39	-7184417.000
40	-7071904.500
41	-6971814.000
42	-6880171.500
43	-6805869.000
44	-6764842.000
45	-6764715.000
46	-6817775.000
47	-6926125.000
48	-7078634.000
49	-7273386.000
50	-7518820.000
51	-7806937.000
52	-8103310.500
53	-8388660.000
54	-8681994.000
55	-8958918.000
56	-9189993.000
57	-9370978.000
58	-9489571.000
59	-9571139.000
60	-9657632.000
61	-9722482.000
62	-9752889.000
63	-9772329.000
64	-9787817.000
65	-9798107.000
66	-9796384.000
67	-9796131.000
68	-9801195.000
69	-9800101.000
70	-9776932.000
71	-9739903.000
72	-9706501.000
73	-9669929.000
74	-9619608.000
75	-9564988.000
76	-9539140.000
77	-9524602.000
78	-9487477.000
79	-9437936.000
80	-9377560.000
81	-9298933.000
82	-9210176.000
83	-9111510.000
84	-9006190.000
85	-8892353.000
86	-8770011.000
87	-8644475.000
88	-8499088.000
89	-8333722.000
90	-8172010.500
91	-7990201.500
92	-7788295.500
93	-7589528.500
94	-7385575.500
95	-7164655.500
96	-6951790.000
97	-6748530.500
98	-6542387.500
99	-6359924.500
100	-6190644.500
101	-6009781.500
102	-5850935.500
103	-5752375.500
104	-5716791.500
105	-5726135.500
106	-5800823.500
107	-5961845.500
108	-6167988.500
109	-6368054.500
110	-6532726.000
111	-6677173.000
112	-6778547.500
113	-6817523.500
114	-6787634.500
115	-6683890.500
116	-6505910.000
117	-6263094.000
118	-5970678.000
119	-5663542.000
120	-5317687.000
121	-4916536.500
122	-4447417.000
123	-3916729.750
124	-3383034.250
125	-2838074.750
126	-2264187.500
127	-1737404.000
128	-1329276.500
129	-1052285.000
130	-892285.125
131	-813373.188
132	-844989.000
133	-1047676.688
134	-1580540.000
135	-2393659.250
136	-3295226.250
137	-4213433.000
138	-5034936.000
139	-5702135.000
140	-6207542.500
141	-6588534.000
142	-6863862.000
143	-7032500.500
144	-7111472.500
145	-7111215.500
146	-7039536.000
147	-6929074.500
148	-6814001.000
149	-6701171.500
150	-6600565.000
151	-6484854.500
152	-6373686.500
153	-6294134.000
154	-6249398.500
155	-6240182.500
156	-6279798.000
157	-6376694.500
158	-6535030.000
159	-6759093.500
160	-7044596.500
161	-7383475.500
162	-7729584.000
163	-8047524.500
164	-8343254.000
165	-8625153.000
166	-8854891.000
167	-9036104.000
168	-9179881.000
169	-9293377.000
170	-9388635.000
171	-9468480.000
172	-9529007.000
173	-9571858.000
174	-9598414.000
175	-9612554.000
176	-9618937.000
177	-9625221.000
178	-9640843.000
179	-9652496.000
180	-9637449.000
181	-9604680.000
182	-9568990.000
183	-9547572.000
184	-9539208.000
185	-9518285.000
186	-9483270.000
187	-9449826.000
188	-9410174.000
189	-9354436.000
190	-9290898.000
191	-9227111.000
192	-9176959.000
193	-9133708.000
194	-9068695.000
195	-8971806.000
196	-8850928.000
197	-8735091.000
198	-8622532.000
199	-8492812.000
200	-8356942.000
201	-8214760.500
202	-8049841.500
203	-7869035.000
204	-7680238.000
205	-7494513.000
206	-7300913.500
207	-7087733.000
208	-6860340.500
209	-6629045.500
210	-6388022.500
211	-6144247.000
212	-5940023.500
213	-5763831.500
214	-5630199.500
215	-5561847.500
216	-5561079.500
217	-5605943.500
218	-5658551.500
219	-5741367.500
220	-5883191.500
221	-6060087.000
222	-6234035.000
223	-6417201.500
224	-6594036.000
225	-6709238.500
226	-6763830.000
227	-6782838.000
228	-6736053.000
229	-6606901.500
230	-6407029.500
231	-6146742.000
232	-5848695.500
233	-5520119.500
234	-5145784.000
235	-4732280.500
236	-4282041.000
237	-3757818.000
238	-3176314.750
239	-2561147.500
240	-2001020.000
241	-1511868.625
242	-1095549.125
243	-772733.562
244	-604029.750
245	-560701.812
246	-641725.562
247	-940157.000
248	-1572156.250
249	-2398011.500
250	-3273466.500
251	-4148345.500
