X	Y
0	-15443106.000
1	-15436453.000
2	-15435898.000
3	-15445424.000
4	-15452205.000
5	-15460111.000
6	-15465683.000
7	-15470614.000
8	-15471701.000
9	-15468959.000
10	-15467713.000
11	-15467498.000
12	-15467177.000
13	-15465007.000
14	-15455487.000
15	-15442479.000
16	-15440109.000
17	-15453140.000
18	-15454908.000
19	-15446084.000
20	-15443350.000
21	-15444060.000
22	-15445311.000
23	-15445373.000
24	-15454241.000
25	-15472105.000
26	-15479309.000
27	-15475321.000
28	-15475961.000
29	-15480669.000
30	-15480636.000
31	-15474261.000
32	-15469484.000
33	-15469268.000
34	-15466912.000
35	-15461122.000
36	-15469083.000
37	-15489118.000
38	-15496273.000
39	-15497909.000
40	-15494434.000
41	-15488830.000
42	-15487993.000
43	-15488311.000
44	-15495574.000
45	-15513263.000
46	-15514695.000
47	-15496739.000
48	-15489470.000
49	-15492109.000
50	-15493730.000
51	-15496307.000
52	-15498142.000
53	-15503126.000
54	-15503928.000
55	-15500798.000
56	-15500224.000
57	-15500561.000
58	-15501157.000
59	-15503506.000
60	-15505709.000
61	-15509846.000
62	-15511395.000
63	-15509471.000
64	-15509072.000
65	-15510196.000
66	-15511250.000
67	-15512807.000
68	-15512299.000
69	-15507668.000
70	-15509796.000
71	-15514969.000
72	-15509172.000
73	-15490757.000
74	-15484705.000
75	-15487872.000
76	-15488340.000
77	-15484799.000
78	-15488852.000
79	-15507138.000
80	-15513406.000
81	-15513316.000
82	-15512135.000
83	-15510620.000
84	-15510362.000
85	-15511986.000
86	-15510721.000
87	-15508124.000
88	-15504810.000
89	-15500695.000
90	-15503800.000
91	-15512893.000
92	-15511949.000
93	-15500558.000
94	-15498836.000
95	-15505651.000
96	-15507015.000
97	-15502750.000
98	-15499725.000
99	-15497923.000
100	-15497567.000
101	-15497696.000
102	-15498859.000
103	-15502297.000
104	-15497647.000
105	-15483721.000
106	-15481032.000
107	-15486560.000
108	-15488219.000
109	-15485539.000
110	-15484180.000
111	-15485932.000
112	-15484107.000
113	-15478850.000
114	-15477864.000
115	-15484688.000
116	-15488046.000
117	-15485388.000
118	-15480633.000
119	-15474521.000
120	-15474697.000
121	-15483288.000
122	-15480054.000
123	-15468284.000
124	-15429752.000
125	-15368976.000
126	-15173724.000
127	-14843976.000
128	-14370756.000
129	-13750562.000
130	-12956383.000
131	-11987700.000
132	-10783861.000
133	-9340123.000
134	-7913520.000
135	-6510772.500
136	-5669456.000
137	-5051002.500
138	-4603649.000
139	-4215644.500
140	-3898619.250
141	-3532459.250
142	-3172366.500
143	-2822362.750
144	-2551480.500
145	-2357296.750
146	-2183141.250
147	-2030305.500
148	-1947330.250
149	-1930516.625
150	-1952657.250
151	-2013372.500
152	-2081710.625
153	-2381661.750
154	-3033553.500
155	-4249982.500
156	-5382946.000
157	-6544258.500
158	-7693806.000
159	-8899542.000
160	-10031337.000
161	-11143782.000
162	-12026622.000
163	-12694774.000
164	-13293561.000
165	-13813325.000
166	-14252636.000
167	-14603391.000
168	-14854288.000
169	-15002490.000
170	-15126330.000
171	-15225994.000
172	-15266643.000
173	-15257417.000
174	-15278067.000
175	-15328129.000
176	-15361552.000
177	-15378600.000
178	-15385290.000
179	-15379204.000
180	-15373906.000
181	-15369595.000
182	-15360916.000
183	-15351863.000
184	-15353280.000
185	-15363022.000
186	-15367322.000
187	-15369004.000
188	-15358003.000
189	-15332646.000
190	-15317232.000
191	-15315859.000
192	-15321523.000
193	-15331785.000
194	-15323911.000
195	-15300155.000
196	-15274551.000
197	-15250076.000
198	-15235823.000
199	-15237027.000
200	-15232083.000
201	-15212565.000
202	-15217259.000
203	-15244319.000
204	-15268949.000
205	-15288344.000
206	-15296527.000
207	-15291787.000
208	-15292309.000
209	-15297425.000
210	-15298702.000
211	-15297944.000
212	-15308868.000
213	-15332210.000
214	-15356204.000
215	-15378502.000
216	-15384874.000
217	-15376175.000
218	-15364684.000
219	-15350294.000
220	-15342046.000
221	-15343462.000
222	-15357217.000
223	-15379894.000
224	-15379158.000
225	-15354739.000
226	-15352144.000
227	-15366869.000
228	-15380184.000
229	-15393276.000
230	-15397717.000
231	-15399926.000
232	-15398432.000
233	-15394752.000
234	-15400409.000
235	-15413399.000
236	-15416988.000
237	-15413905.000
238	-15417055.000
239	-15428688.000
240	-15436561.000
241	-15441179.000
242	-15444808.000
243	-15449392.000
244	-15447353.000
245	-15442708.000
246	-15448498.000
247	-15464577.000
248	-15477339.000
249	-15487048.000
250	-15489075.000
251	-15485388.000
252	-15489478.000
253	-15496646.000
254	-15498722.000
255	-15491357.000
256	-15484497.000
257	-15480084.000
258	-15486159.000
259	-15501710.000
260	-15508594.000
261	-15504361.000
262	-15500983.000
263	-15496613.000
264	-15498789.000
265	-15503848.000
266	-15509018.000
267	-15512663.000
268	-15507888.000
269	-15490589.000
270	-15487361.000
271	-15500508.000
272	-15501593.000
273	-15494167.000
274	-15496879.000
275	-15511466.000
276	-15512924.000
277	-15502767.000
278	-15498140.000
279	-15502010.000
280	-15498155.000
281	-15490103.000
282	-15494088.000
283	-15511263.000
284	-15518084.000
285	-15514244.000
286	-15515322.000
287	-15523498.000
288	-15521604.000
