X	Y
0	-15487928.000
1	-15496619.000
2	-15475332.000
3	-15474903.000
4	-15461624.000
5	-15464898.000
6	-15461227.000
7	-15453361.000
8	-15443229.000
9	-15441653.000
10	-15450036.000
11	-15457094.000
12	-15465724.000
13	-15472937.000
14	-15476462.000
15	-15472960.000
16	-15467357.000
17	-15455842.000
18	-15438870.000
19	-15434327.000
20	-15447115.000
21	-15460885.000
22	-15464012.000
23	-15463965.000
24	-15462747.000
25	-15460399.000
26	-15459047.000
27	-15457582.000
28	-15455338.000
29	-15457626.000
30	-15463857.000
31	-15469118.000
32	-15475310.000
33	-15478497.000
34	-15479275.000
35	-15475560.000
36	-15472883.000
37	-15476708.000
38	-15484042.000
39	-15481621.000
40	-15472866.000
41	-15464712.000
42	-15469775.000
43	-15476874.000
44	-15479409.000
45	-15487592.000
46	-15493951.000
47	-15493559.000
48	-15497629.000
49	-15506771.000
50	-15511284.000
51	-15509784.000
52	-15505607.000
53	-15501985.000
54	-15502745.000
55	-15501530.000
56	-15496022.000
57	-15493143.000
58	-15494955.000
59	-15496988.000
60	-15492455.000
61	-15491760.000
62	-15496426.000
63	-15501471.000
64	-15507810.000
65	-15509722.000
66	-15509724.000
67	-15507698.000
68	-15504409.000
69	-15508293.000
70	-15514454.000
71	-15520672.000
72	-15518997.000
73	-15510279.000
74	-15504314.000
75	-15503690.000
76	-15502860.000
77	-15503866.000
78	-15506886.000
79	-15505354.000
80	-15500876.000
81	-15498582.000
82	-15494814.000
83	-15493562.000
84	-15496068.000
85	-15501426.000
86	-15505363.000
87	-15505439.000
88	-15507596.000
89	-15510981.000
90	-15514494.000
91	-15515191.000
92	-15514698.000
93	-15510234.000
94	-15501090.000
95	-15502309.000
96	-15511301.000
97	-15516940.000
98	-15515537.000
99	-15511430.000
100	-15510971.000
101	-15511425.000
102	-15504988.000
103	-15503392.000
104	-15502884.000
105	-15500251.000
106	-15500520.000
107	-15500598.000
108	-15500474.000
109	-15497347.000
110	-15492791.000
111	-15490024.000
112	-15486882.000
113	-15487770.000
114	-15490116.000
115	-15493773.000
116	-15495200.000
117	-15493208.000
118	-15487458.000
119	-15481068.000
120	-15481980.000
121	-15486519.000
122	-15488233.000
123	-15481085.000
124	-15474115.000
125	-15477186.000
126	-15486829.000
127	-15487772.000
