X	Y
0	-15522502.000
1	-15514306.000
2	-15515448.000
3	-15520416.000
4	-15510591.000
5	-15505170.000
6	-15509668.000
7	-15511903.000
8	-15510682.000
9	-15511815.000
10	-15520378.000
11	-15523973.000
12	-15521985.000
13	-15523318.000
14	-15524849.000
15	-15522172.000
16	-15517897.000
17	-15508370.000
18	-15494182.000
19	-15491815.000
20	-15506509.000
21	-15517129.000
22	-15520144.000
23	-15519503.000
24	-15517624.000
25	-15517425.000
26	-15517500.000
27	-15516854.000
28	-15517043.000
29	-15514803.000
30	-15510972.000
31	-15511538.000
32	-15516419.000
33	-15519251.000
34	-15519193.000
35	-15515665.000
36	-15511104.000
37	-15515017.000
38	-15522493.000
39	-15520795.000
40	-15516570.000
41	-15515511.000
42	-15513602.000
43	-15511637.000
44	-15511943.000
45	-15516086.000
46	-15522684.000
47	-15524745.000
48	-15525711.000
49	-15527123.000
50	-15527827.000
51	-15527685.000
52	-15526595.000
53	-15522881.000
54	-15523649.000
55	-15528657.000
56	-15527040.000
57	-15518654.000
58	-15513988.000
59	-15518013.000
60	-15521645.000
61	-15519938.000
62	-15518826.000
63	-15521747.000
64	-15525897.000
65	-15526287.000
66	-15525326.000
67	-15522965.000
68	-15519779.000
69	-15521695.000
70	-15522959.000
71	-15522609.000
72	-15522681.000
73	-15524667.000
74	-15523573.000
75	-15520771.000
76	-15517580.000
77	-15516914.000
78	-15519257.000
79	-15520773.000
80	-15519765.000
81	-15517322.000
82	-15514501.000
83	-15511749.000
84	-15511963.000
85	-15515561.000
86	-15514906.000
87	-15517391.000
88	-15523333.000
89	-15522700.000
90	-15521158.000
91	-15523954.000
92	-15523786.000
93	-15522661.000
94	-15520459.000
95	-15516215.000
96	-15513592.000
97	-15519056.000
98	-15526149.000
99	-15526258.000
100	-15525307.000
101	-15525869.000
102	-15521475.000
103	-15515872.000
104	-15515595.000
105	-15516937.000
106	-15520973.000
107	-15520144.000
108	-15519364.000
109	-15522310.000
110	-15525487.000
111	-15524542.000
112	-15522400.000
113	-15519108.000
114	-15517626.000
115	-15522434.000
116	-15526204.000
117	-15524234.000
118	-15518491.000
119	-15514283.000
120	-15516826.000
121	-15520457.000
122	-15521023.000
123	-15517111.000
124	-15516686.000
125	-15517656.000
126	-15519685.000
127	-15520133.000
128	-15518599.000
129	-15516876.000
130	-15518728.000
131	-15525446.000
132	-15529453.000
133	-15527798.000
134	-15523149.000
135	-15522629.000
136	-15524921.000
137	-15524748.000
138	-15523416.000
139	-15523992.000
140	-15524954.000
141	-15528267.000
142	-15530999.000
143	-15530504.000
144	-15526270.000
145	-15521430.000
146	-15521956.000
147	-15523099.000
148	-15523538.000
149	-15526420.000
150	-15526305.000
151	-15523677.000
152	-15523535.000
153	-15523795.000
154	-15521741.000
155	-15521268.000
156	-15524731.000
157	-15521704.000
158	-15523677.000
159	-15528739.000
160	-15526555.000
161	-15519765.000
162	-15519778.000
163	-15524952.000
164	-15524305.000
165	-15522436.000
166	-15525378.000
167	-15523855.000
168	-15521871.000
169	-15522642.000
170	-15522035.000
171	-15520737.000
172	-15526417.000
173	-15529626.000
174	-15529395.000
175	-15528237.000
176	-15530665.000
177	-15531857.000
178	-15529562.000
179	-15525682.000
180	-15523341.000
181	-15520864.000
182	-15523054.000
183	-15530890.000
184	-15531192.000
185	-15527995.000
186	-15525325.000
187	-15524676.000
188	-15529725.000
189	-15527574.000
190	-15521022.000
191	-15517304.000
192	-15518472.000
193	-15523341.000
194	-15527540.000
195	-15530169.000
196	-15528130.000
197	-15525448.000
198	-15522441.000
199	-15517907.000
200	-15515846.000
201	-15520564.000
202	-15523705.000
203	-15517893.000
204	-15512935.000
205	-15510183.000
206	-15509451.000
207	-15509577.000
208	-15508200.000
209	-15511274.000
210	-15511500.000
211	-15508489.000
212	-15508677.000
213	-15509651.000
214	-15508966.000
215	-15509916.000
216	-15511890.000
217	-15509289.000
218	-15489023.000
219	-15440016.000
220	-15365162.000
221	-15282176.000
222	-15217373.000
223	-15158711.000
224	-15086156.000
225	-14975522.000
226	-14794611.000
227	-14521052.000
228	-14172824.000
229	-13773031.000
230	-13354873.000
231	-12931024.000
232	-12519114.000
233	-12109268.000
234	-11721804.000
235	-11386940.000
236	-11113245.000
237	-10904387.000
238	-10747626.000
239	-10625576.000
240	-10519187.000
241	-10431518.000
242	-10383879.000
243	-10369796.000
244	-10384819.000
245	-10458999.000
246	-10632575.000
247	-10922047.000
248	-11329455.000
249	-11801070.000
250	-12296740.000
251	-12770641.000
252	-13213920.000
253	-13620085.000
254	-13960450.000
255	-14233469.000
256	-14463975.000
257	-14658065.000
258	-14824635.000
259	-14953170.000
260	-15055026.000
261	-15151203.000
262	-15239978.000
263	-15312366.000
264	-15366199.000
265	-15404745.000
266	-15428570.000
267	-15452004.000
268	-15474932.000
269	-15485152.000
270	-15486680.000
271	-15489062.000
272	-15496382.000
273	-15501227.000
274	-15502917.000
275	-15503760.000
276	-15502229.000
277	-15498727.000
278	-15494708.000
279	-15494486.000
280	-15499116.000
281	-15502377.000
282	-15501890.000
283	-15498320.000
284	-15489946.000
285	-15482485.000
286	-15478714.000
287	-15470252.000
288	-15470773.000
289	-15474350.000
290	-15475239.000
291	-15475421.000
292	-15470575.000
293	-15459294.000
294	-15457571.000
295	-15459864.000
296	-15457988.000
297	-15460636.000
298	-15466636.000
299	-15469152.000
300	-15473265.000
301	-15478255.000
302	-15478875.000
303	-15477277.000
304	-15476012.000
305	-15473899.000
306	-15476328.000
307	-15480489.000
308	-15478371.000
309	-15481245.000
310	-15486290.000
311	-15486980.000
312	-15485074.000
313	-15485256.000
314	-15487647.000
315	-15485182.000
316	-15477682.000
317	-15479527.000
318	-15485860.000
319	-15489559.000
320	-15492068.000
321	-15492691.000
322	-15490893.000
323	-15495374.000
324	-15502533.000
325	-15502929.000
326	-15500506.000
327	-15499286.000
328	-15502436.000
329	-15500896.000
330	-15500635.000
331	-15505338.000
332	-15507822.000
333	-15506766.000
334	-15503325.000
335	-15502492.000
336	-15507002.000
337	-15507959.000
338	-15506073.000
339	-15502736.000
340	-15500962.000
341	-15504252.000
342	-15512989.000
343	-15517806.000
344	-15513288.000
345	-15511457.000
346	-15513065.000
347	-15514892.000
348	-15519426.000
349	-15522323.000
350	-15522670.000
351	-15523309.000
352	-15524163.000
353	-15516245.000
354	-15511053.000
355	-15512147.000
356	-15513466.000
357	-15517356.000
358	-15519804.000
359	-15522221.000
360	-15523959.000
361	-15524488.000
362	-15519804.000
363	-15514757.000
364	-15512969.000
365	-15513604.000
366	-15513978.000
367	-15515768.000
368	-15516226.000
369	-15514348.000
370	-15514404.000
371	-15513863.000
372	-15513789.000
373	-15515671.000
374	-15517680.000
375	-15516246.000
376	-15513183.000
377	-15511449.000
378	-15513360.000
379	-15517371.000
380	-15518034.000
381	-15512982.000
382	-15510854.000
383	-15512415.000
384	-15512728.000
385	-15512315.000
386	-15515075.000
387	-15516947.000
388	-15518546.000
389	-15519108.000
390	-15520702.000
391	-15518469.000
392	-15518191.000
393	-15522421.000
394	-15527289.000
395	-15528743.000
396	-15526004.000
397	-15524419.000
398	-15521218.000
399	-15520436.000
400	-15523314.000
401	-15524015.000
402	-15524949.000
403	-15526876.000
404	-15524678.000
405	-15520699.000
406	-15519680.000
407	-15524607.000
408	-15527867.000
409	-15526857.000
410	-15523021.000
411	-15524471.000
412	-15525819.000
413	-15522857.000
414	-15522688.000
415	-15523601.000
416	-15523151.000
417	-15521745.000
418	-15520627.000
419	-15522428.000
420	-15524794.000
421	-15524990.000
422	-15523593.000
423	-15521936.000
424	-15522936.000
425	-15524822.000
426	-15528686.000
427	-15532154.000
428	-15529124.000
429	-15524975.000
430	-15526913.000
431	-15529351.000
432	-15526917.000
433	-15528520.000
434	-15530588.000
435	-15526436.000
436	-15525593.000
437	-15529144.000
438	-15528434.000
439	-15524163.000
440	-15519144.000
441	-15519211.000
442	-15524296.000
443	-15525224.000
444	-15521824.000
445	-15519987.000
446	-15521629.000
447	-15522396.000
448	-15524689.000
449	-15528249.000
450	-15533231.000
451	-15530866.000
452	-15527098.000
453	-15526298.000
454	-15523605.000
455	-15519500.000
456	-15520841.000
457	-15525180.000
458	-15525946.000
459	-15525644.000
460	-15526286.000
461	-15525909.000
462	-15521255.000
463	-15518987.000
464	-15520311.000
465	-15520344.000
466	-15518734.000
467	-15518474.000
468	-15522772.000
469	-15521799.000
470	-15519742.000
471	-15522508.000
472	-15523938.000
473	-15528203.000
474	-15529776.000
475	-15526339.000
476	-15524041.000
477	-15522050.000
478	-15518814.000
479	-15518034.000
480	-15525462.000
481	-15530009.000
482	-15525265.000
483	-15524366.000
484	-15527390.000
485	-15524835.000
486	-15521753.000
487	-15525027.000
488	-15524254.000
489	-15520095.000
490	-15519193.000
491	-15523605.000
492	-15525776.000
493	-15526354.000
494	-15525007.000
495	-15519478.000
496	-15518520.000
497	-15521998.000
498	-15520467.000
499	-15521746.000
500	-15525518.000
501	-15526273.000
502	-15522738.000
503	-15516782.000
504	-15513618.000
505	-15514130.000
506	-15521031.000
507	-15523798.000
508	-15522783.000
509	-15523339.000
510	-15527090.000
511	-15528129.000
512	-15523337.000
513	-15518293.000
514	-15518996.000
515	-15522933.000
516	-15524674.000
517	-15527071.000
518	-15527687.000
519	-15528066.000
520	-15527893.000
521	-15524998.000
522	-15523383.000
523	-15524421.000
524	-15525581.000
525	-15528328.000
526	-15531585.000
527	-15526940.000
528	-15519016.000
529	-15519640.000
530	-15527868.000
531	-15529162.000
532	-15520769.000
533	-15518384.000
534	-15521587.000
535	-15519792.000
536	-15522300.000
537	-15524175.000
538	-15521250.000
539	-15524377.000
540	-15527624.000
541	-15523299.000
542	-15521429.000
543	-15522898.000
544	-15521624.000
545	-15520223.000
546	-15520170.000
547	-15524818.000
548	-15527160.000
549	-15524033.000
550	-15523458.000
551	-15525127.000
552	-15524354.000
553	-15523212.000
554	-15523600.000
555	-15522399.000
556	-15519007.000
557	-15519759.000
558	-15524926.000
559	-15524112.000
560	-15522978.000
561	-15521357.000
562	-15516749.000
563	-15516374.000
564	-15522655.000
565	-15528593.000
566	-15531594.000
567	-15529266.000
568	-15526847.000
569	-15526557.000
570	-15526864.000
571	-15524319.000
572	-15520474.000
573	-15522176.000
574	-15526714.000
575	-15524558.000
576	-15518971.000
577	-15517128.000
578	-15517448.000
579	-15517255.000
580	-15519285.000
581	-15521206.000
582	-15520677.000
583	-15521591.000
584	-15522429.000
585	-15521575.000
586	-15518072.000
587	-15514941.000
588	-15517359.000
589	-15520750.000
590	-15520201.000
591	-15518484.000
592	-15517396.000
593	-15518340.000
594	-15520968.000
595	-15524474.000
596	-15528341.000
597	-15529135.000
598	-15528507.000
599	-15527668.000
600	-15524971.000
601	-15522171.000
602	-15524174.000
603	-15524463.000
604	-15523693.000
605	-15524424.000
606	-15523474.000
607	-15517790.000
608	-15516773.000
609	-15519463.000
610	-15519100.000
611	-15516348.000
612	-15521812.000
613	-15528071.000
614	-15528515.000
615	-15528843.000
616	-15526136.000
617	-15523361.000
618	-15519738.000
619	-15518217.000
620	-15520122.000
621	-15520061.000
622	-15520327.000
623	-15521026.000
624	-15516104.000
625	-15514332.000
626	-15513038.000
627	-15511427.000
628	-15512826.000
629	-15516440.000
630	-15520212.000
631	-15519883.000
632	-15524059.000
633	-15526631.000
634	-15526243.000
635	-15526663.000
636	-15525379.000
637	-15522577.000
638	-15520340.000
639	-15521623.000
640	-15522260.000
641	-15518667.000
642	-15513751.000
643	-15513948.000
644	-15514572.000
645	-15515480.000
646	-15515022.000
647	-15513534.000
648	-15510004.000
649	-15508088.000
650	-15506907.000
651	-15501140.000
652	-15499227.000
653	-15504977.000
654	-15511318.000
655	-15519085.000
656	-15521500.000
657	-15521172.000
658	-15525148.000
659	-15531917.000
660	-15532919.000
661	-15525282.000
662	-15519086.000
663	-15520151.000
664	-15519296.000
665	-15515527.000
666	-15514311.000
667	-15516230.000
668	-15520842.000
669	-15523782.000
670	-15520535.000
671	-15520024.000
672	-15522830.000
673	-15519507.000
674	-15515328.000
675	-15513417.000
676	-15515556.000
677	-15516683.000
678	-15517240.000
679	-15519828.000
680	-15520246.000
681	-15519610.000
682	-15520474.000
683	-15521421.000
684	-15519505.000
685	-15519320.000
686	-15520141.000
687	-15518745.000
688	-15520808.000
689	-15526330.000
690	-15528243.000
691	-15523332.000
692	-15512185.000
693	-15511929.000
694	-15520045.000
695	-15520448.000
696	-15517616.000
697	-15515488.000
698	-15510194.000
699	-15509697.000
700	-15514228.000
701	-15515006.000
702	-15518293.000
703	-15524953.000
704	-15524997.000
705	-15519876.000
706	-15514905.000
707	-15512488.000
708	-15510469.000
709	-15511230.000
710	-15515088.000
711	-15515640.000
712	-15514379.000
713	-15513516.000
714	-15511012.000
715	-15514530.000
716	-15518485.000
717	-15517977.000
718	-15517844.000
719	-15515088.000
720	-15511636.000
721	-15514772.000
722	-15519388.000
723	-15522520.000
724	-15520856.000
725	-15515551.000
726	-15514271.000
727	-15514195.000
728	-15511321.000
729	-15509337.000
730	-15507440.000
731	-15507384.000
732	-15509483.000
733	-15514330.000
734	-15518677.000
735	-15518574.000
736	-15517976.000
737	-15516359.000
738	-15516448.000
739	-15518510.000
740	-15522014.000
741	-15522094.000
742	-15520359.000
743	-15520281.000
744	-15517659.000
745	-15516696.000
746	-15519503.000
747	-15521148.000
748	-15521984.000
749	-15517163.000
750	-15514012.000
751	-15511645.000
752	-15504658.000
753	-15505644.000
754	-15512294.000
755	-15515605.000
756	-15511764.000
757	-15507331.000
758	-15503890.000
759	-15499793.000
760	-15503045.000
761	-15506326.000
762	-15505359.000
763	-15504019.000
764	-15505641.000
765	-15509571.000
766	-15506090.000
767	-15497671.000
768	-15494247.000
769	-15499808.000
770	-15505095.000
771	-15510331.000
772	-15510014.000
773	-15502474.000
774	-15500134.000
775	-15504478.000
776	-15507016.000
777	-15500239.000
778	-15481904.000
779	-15443204.000
780	-15367713.000
781	-15245606.000
782	-15116186.000
783	-15006896.000
784	-14910779.000
785	-14802864.000
786	-14624487.000
787	-14332073.000
788	-13890268.000
789	-13318335.000
790	-12659619.000
791	-11917393.000
792	-11102564.000
793	-10341022.000
794	-9688289.000
795	-9108891.000
796	-8640048.000
797	-8268957.500
798	-7955935.000
799	-7703695.500
800	-7504295.500
801	-7353313.000
802	-7218187.500
803	-7106166.000
804	-7083181.000
805	-7106970.500
806	-7215567.000
807	-7518786.500
808	-8041457.000
809	-8743671.000
810	-9518205.000
811	-10259018.000
812	-11013706.000
813	-11744239.000
814	-12344376.000
815	-12861705.000
816	-13298254.000
817	-13635174.000
818	-13940150.000
819	-14210946.000
820	-14450372.000
821	-14663646.000
822	-14831268.000
823	-14983247.000
824	-15106936.000
825	-15192273.000
826	-15260643.000
827	-15319829.000
828	-15364007.000
829	-15390678.000
830	-15413961.000
831	-15436104.000
832	-15451134.000
833	-15463971.000
834	-15473094.000
835	-15474954.000
836	-15474632.000
837	-15473297.000
838	-15477269.000
839	-15479571.000
840	-15475639.000
841	-15475140.000
842	-15474486.000
843	-15460013.000
844	-15447764.000
845	-15446029.000
846	-15442574.000
847	-15438361.000
848	-15437103.000
849	-15432946.000
850	-15427787.000
851	-15426677.000
852	-15419626.000
853	-15406214.000
854	-15401483.000
855	-15406923.000
856	-15417762.000
857	-15429127.000
858	-15431203.000
859	-15427237.000
860	-15427663.000
861	-15434591.000
862	-15441684.000
863	-15450618.000
864	-15451963.000
865	-15445518.000
866	-15439084.000
867	-15437284.000
868	-15441039.000
869	-15444763.000
870	-15446563.000
871	-15448746.000
872	-15453430.000
873	-15455792.000
874	-15455700.000
875	-15459563.000
876	-15462009.000
877	-15459793.000
878	-15459930.000
879	-15461736.000
880	-15467594.000
881	-15474703.000
882	-15475026.000
883	-15476896.000
884	-15481306.000
885	-15482250.000
886	-15479488.000
887	-15478060.000
888	-15479917.000
889	-15482115.000
890	-15480711.000
891	-15477301.000
892	-15480328.000
893	-15482770.000
894	-15487357.000
895	-15487366.000
896	-15482685.000
897	-15483464.000
898	-15484167.000
899	-15482364.000
900	-15487602.000
901	-15491813.000
902	-15495597.000
903	-15500453.000
904	-15503897.000
905	-15503530.000
906	-15497591.000
907	-15489353.000
908	-15491767.000
909	-15502568.000
910	-15503922.000
911	-15502826.000
912	-15506296.000
913	-15508718.000
914	-15508689.000
915	-15507546.000
916	-15499694.000
917	-15494128.000
918	-15494773.000
919	-15500026.000
920	-15504943.000
921	-15508912.000
922	-15509497.000
923	-15505699.000
924	-15502227.000
925	-15497253.000
926	-15493351.000
927	-15494396.000
928	-15498346.000
929	-15498530.000
930	-15497204.000
931	-15496713.000
932	-15500675.000
933	-15501082.000
934	-15499422.000
935	-15500985.000
936	-15500849.000
937	-15504660.000
938	-15510119.000
939	-15508201.000
940	-15505633.000
941	-15510226.000
942	-15515285.000
943	-15516233.000
944	-15516694.000
