X	Y
0	-15492016.000
1	-15481744.000
2	-15466681.000
3	-15461190.000
4	-15459668.000
5	-15455184.000
6	-15453632.000
7	-15445648.000
8	-15446300.000
9	-15456448.000
10	-15467589.000
11	-15472978.000
12	-15472407.000
13	-15468775.000
14	-15464574.000
15	-15461519.000
16	-15453211.000
17	-15438226.000
18	-15436172.000
19	-15445499.000
20	-15448230.000
21	-15447806.000
22	-15442651.000
23	-15431900.000
24	-15429393.000
25	-15431311.000
26	-15426555.000
27	-15421563.000
28	-15424141.000
29	-15429514.000
30	-15431827.000
31	-15431112.000
32	-15427843.000
33	-15420558.000
34	-15418578.000
35	-15419396.000
36	-15421308.000
37	-15417514.000
38	-15404754.000
39	-15397819.000
40	-15394752.000
41	-15394741.000
42	-15390433.000
43	-15385581.000
44	-15385014.000
45	-15384716.000
46	-15349748.000
47	-15234824.000
48	-14946124.000
49	-14415507.000
50	-13775002.000
51	-13288825.000
52	-12923896.000
53	-12466159.000
54	-11696571.000
55	-10405471.000
56	-8533936.000
57	-6716637.000
58	-5550823.500
59	-4658912.000
60	-3929100.750
61	-3315223.000
62	-2565852.750
63	-1968607.375
64	-1399390.375
65	-975843.188
66	-642987.812
67	-231606.188
68	-72474.328
69	-53165.773
70	-52384.367
71	-51832.984
72	-51393.953
73	-51104.180
74	-57644.133
75	-69649.383
76	-84760.516
77	-97386.703
78	-106200.156
79	-160962.891
80	-470565.625
81	-1187650.000
82	-2200441.000
83	-3630033.750
84	-5487780.000
85	-7036827.000
86	-8146685.000
87	-9195071.000
88	-9986538.000
89	-10779454.000
90	-11363354.000
91	-11823097.000
92	-12293536.000
93	-12685704.000
94	-13144411.000
95	-13542777.000
96	-13885600.000
97	-14150340.000
98	-14325622.000
99	-14461156.000
100	-14574973.000
101	-14669418.000
102	-14742589.000
103	-14800012.000
104	-14834071.000
105	-14863299.000
106	-14907752.000
107	-14969266.000
108	-15047850.000
109	-15126157.000
110	-15194518.000
111	-15247424.000
112	-15288203.000
113	-15327199.000
114	-15350028.000
115	-15371459.000
116	-15389620.000
117	-15400234.000
118	-15401539.000
