x,intensity
0,-16452423.000
1,-16439511.000
2,-16440641.000
3,-16429714.000
4,-16428844.000
5,-16442658.000
6,-16437770.000
7,-16426135.000
8,-16426500.000
9,-16435539.000
10,-16442652.000
11,-16448023.000
12,-16443901.000
13,-16431404.000
14,-16427508.000
15,-16429947.000
16,-16424739.000
17,-16406429.000
18,-16399512.000
19,-16418261.000
20,-16434961.000
21,-16437387.000
22,-16434819.000
23,-16435529.000
24,-16438292.000
25,-16441226.000
26,-16447167.000
27,-16447191.000
28,-16438373.000
29,-16435596.000
30,-16441863.000
31,-16445834.000
32,-16445671.000
33,-16440317.000
34,-16433260.000
35,-16439085.000
36,-16447345.000
37,-16440456.000
38,-16433313.000
39,-16432671.000
40,-16433761.000
41,-16438533.000
42,-16439429.000
43,-16433306.000
44,-16433814.000
45,-16440200.000
46,-16443386.000
47,-16446165.000
48,-16449276.000
49,-16449920.000
50,-16448722.000
51,-16447485.000
52,-16442251.000
53,-16433599.000
54,-16432056.000
55,-16441367.000
56,-16449997.000
57,-16447583.000
58,-16439009.000
59,-16438105.000
60,-16441426.000
61,-16438869.000
62,-16438741.000
63,-16442535.000
64,-16442498.000
65,-16437678.000
66,-16435667.000
67,-16440567.000
68,-16443078.000
69,-16443955.000
70,-16445042.000
71,-16444392.000
72,-16439194.000
73,-16432033.000
74,-16434157.000
75,-16441103.000
76,-16439288.000
77,-16413089.000
78,-16294025.000
79,-15967630.000
80,-15290680.000
81,-14272549.000
82,-13052308.000
83,-11607705.000
84,-9597481.000
85,-6949240.000
86,-4494007.500
87,-2872373.250
88,-2238000.750
89,-1994990.125
90,-1813997.875
91,-1708972.500
92,-1646953.125
93,-1820709.625
94,-2188832.750
95,-2726804.000
96,-3265418.250
97,-3994930.750
98,-4837852.500
99,-5532891.000
100,-6236193.000
101,-7045863.500
102,-7974890.500
103,-8846110.000
104,-9688648.000
105,-10564918.000
106,-11299326.000
107,-11869048.000
108,-12368793.000
109,-12818460.000
110,-13202286.000
111,-13574175.000
112,-13929856.000
113,-14215222.000
114,-14460554.000
115,-14697185.000
116,-14922602.000
117,-15110471.000
118,-15259875.000
119,-15382658.000
120,-15493310.000
121,-15594960.000
