x,intensity
0,-9674820.000
1,-9465464.000
2,-9552424.000
3,-9513127.000
4,-9488103.000
5,-9460264.000
6,-9418664.000
7,-9368743.000
8,-9326696.000
9,-9290216.000
10,-9255784.000
11,-9208616.000
12,-9144552.000
13,-9079848.000
14,-9026408.000
15,-8974440.000
16,-8917864.000
17,-8877800.000
18,-8860968.000
19,-8841128.000
20,-8809000.000
21,-8774248.000
22,-8731880.000
23,-8687080.000
24,-8657896.000
25,-8650728.000
26,-8658406.000
27,-8640870.000
28,-8613602.000
29,-8617826.000
30,-8632808.000
31,-8638312.000
32,-8643368.000
33,-8660136.000
34,-8687976.000
35,-8701160.000
36,-8714536.000
37,-8746408.000
38,-8786472.000
39,-8839976.000
40,-8895720.000
41,-8940968.000
42,-8978472.000
43,-9023911.000
44,-9086504.000
45,-9160295.000
46,-9222119.000
47,-9268071.000
48,-9301735.000
49,-9335591.000
50,-9371047.000
51,-9397799.000
52,-9419431.000
53,-9438184.000
54,-9465832.000
55,-9503847.000
56,-9531367.000
57,-9535142.000
58,-9532264.000
59,-9528487.000
60,-9523815.000
61,-9518504.000
62,-9510759.000
63,-9500392.000
64,-9480296.000
65,-9449192.000
66,-9417448.000
67,-9411112.000
68,-9412648.000
69,-9385192.000
70,-9337896.000
71,-9301928.000
72,-9257576.000
73,-9191208.000
74,-9147625.000
75,-9128297.000
76,-9103593.000
77,-9071656.000
78,-9044776.000
79,-9013096.000
80,-8972584.000
81,-8920104.000
82,-8857192.000
83,-8778536.000
84,-8710120.000
85,-8655208.000
86,-8588520.000
87,-8510505.000
88,-8445993.000
89,-8384488.500
90,-8310504.500
91,-8233896.500
92,-8158057.000
93,-8078825.000
94,-8007017.500
95,-7952425.000
96,-7894889.000
97,-7840937.000
98,-7820009.500
99,-7818537.000
100,-7787369.500
101,-7718953.500
102,-7676585.500
103,-7669865.500
104,-7674601.500
105,-7681898.000
106,-7703274.000
107,-7754282.000
108,-7830121.500
109,-7894569.500
110,-7946153.500
111,-7995113.500
112,-8057449.500
113,-8131177.500
114,-8203305.500
115,-8272745.500
116,-8351977.500
117,-8430569.000
118,-8505770.000
119,-8587754.000
120,-8661546.000
121,-8710762.000
122,-8770154.000
123,-8859818.000
124,-8945514.000
125,-9013482.000
126,-9062442.000
127,-9084842.000
128,-9104362.000
129,-9136426.000
130,-9160298.000
131,-9173866.000
132,-9172522.000
133,-9152426.000
134,-9125034.000
135,-9118954.000
136,-9130154.000
137,-9146474.000
138,-9142122.000
139,-9107754.000
140,-9070314.000
141,-9062123.000
142,-9065835.000
143,-9064875.000
144,-9052459.000
145,-9021482.000
146,-8980842.000
147,-8952363.000
148,-8933547.000
149,-8908203.000
150,-8869995.000
151,-8813867.000
152,-8759979.000
153,-8732395.000
154,-8702251.000
155,-8637291.000
156,-8577579.000
157,-8538667.000
158,-8485163.000
159,-8399595.000
160,-8323051.000
161,-8279851.000
162,-8249131.000
163,-8207211.500
164,-8147307.500
165,-8090219.500
166,-8054379.500
167,-8030827.500
168,-8006827.500
169,-7978475.500
170,-7959019.500
171,-7959659.500
172,-7980907.000
173,-8009643.500
174,-8041195.500
175,-8066027.500
176,-8084331.500
177,-8119083.500
178,-8175659.500
179,-8239019.500
180,-8290731.500
181,-8344683.500
182,-8422188.000
183,-8536364.000
184,-8645612.000
185,-8713900.000
186,-8770988.000
187,-8850732.000
188,-8933676.000
189,-8988460.000
190,-9033260.000
191,-9090348.000
192,-9164012.000
193,-9232108.000
194,-9281900.000
195,-9311596.000
196,-9328108.000
197,-9338988.000
198,-9347180.000
199,-9356221.000
200,-9353406.000
201,-9343148.000
202,-9356845.000
203,-9381676.000
204,-9404140.000
205,-9416044.000
206,-9425580.000
207,-9438636.000
208,-9451052.000
209,-9464428.000
210,-9478765.000
211,-9488877.000
212,-9491372.000
213,-9501676.000
214,-9533484.000
215,-9581164.000
216,-9615148.000
217,-9622637.000
218,-9619821.000
219,-9626860.000
220,-9625193.000
221,-9612841.000
222,-9624749.000
223,-9661997.000
224,-9685293.000
225,-9684653.000
226,-9682605.000
227,-9700845.000
228,-9719853.000
229,-9714797.000
230,-9704877.000
231,-9704813.000
232,-9706349.000
233,-9699053.000
234,-9694893.000
235,-9698989.000
236,-9714797.000
237,-9710381.000
238,-9699501.000
239,-9708397.000
240,-9718509.000
241,-9714861.000
242,-9717229.000
243,-9733165.000
244,-9731629.000
245,-9712813.000
246,-9691757.000
247,-9682541.000
248,-9694509.000
249,-9712941.000
250,-9717357.000
251,-9716589.000
252,-9701165.000
253,-9670189.000
254,-9649325.000
255,-9655917.000
