x,intensity
0,-16447855.000
1,-16432325.000
2,-16418670.000
3,-16429359.000
4,-16438033.000
5,-16430168.000
6,-16415811.000
7,-16417430.000
8,-16433978.000
9,-16444633.000
10,-16438450.000
11,-16425316.000
12,-16427337.000
13,-16434643.000
14,-16426592.000
15,-16412820.000
16,-16398878.000
17,-16392287.000
18,-16406850.000
19,-16425715.000
20,-16425221.000
21,-16415363.000
22,-16419602.000
23,-16430409.000
24,-16433000.000
25,-16437112.000
26,-16441999.000
27,-16438061.000
28,-16433655.000
29,-16435229.000
30,-16440631.000
31,-16444077.000
32,-16441209.000
33,-16431157.000
34,-16428342.000
35,-16428466.000
36,-16421093.000
37,-16422531.000
38,-16429437.000
39,-16434128.000
40,-16437578.000
41,-16436885.000
42,-16433181.000
43,-16432911.000
44,-16437452.000
45,-16438895.000
46,-16442152.000
47,-16447298.000
48,-16449272.000
49,-16446472.000
50,-16436512.000
51,-16425648.000
52,-16424163.000
53,-16432603.000
54,-16441438.000
55,-16445506.000
56,-16441070.000
57,-16436049.000
58,-16439347.000
59,-16440624.000
60,-16435943.000
61,-16432430.000
62,-16431174.000
63,-16428107.000
64,-16430761.000
65,-16439123.000
66,-16444542.000
67,-16444176.000
68,-16440140.000
69,-16436762.000
70,-16435251.000
71,-16434727.000
72,-16432431.000
73,-16435292.000
74,-16441511.000
75,-16441388.000
76,-16442034.000
77,-16446511.000
78,-16441172.000
79,-16424036.000
80,-16416610.000
81,-16425914.000
82,-16434409.000
83,-16436197.000
84,-16441898.000
85,-16447236.000
86,-16442196.000
87,-16437658.000
88,-16441386.000
89,-16444369.000
90,-16439384.000
91,-16428088.000
92,-16421973.000
93,-16427453.000
94,-16433021.000
95,-16428204.000
96,-16420395.000
97,-16420252.000
98,-16386466.000
99,-16236918.000
100,-15932771.000
101,-15491361.000
102,-14904413.000
103,-14178451.000
104,-13430654.000
105,-12840404.000
106,-12594480.000
107,-12590691.000
108,-12545772.000
109,-12480976.000
110,-12506940.000
111,-12598146.000
112,-12753440.000
113,-13005031.000
114,-13331223.000
115,-13635615.000
116,-13846353.000
117,-14033822.000
118,-14271275.000
119,-14517730.000
120,-14733109.000
121,-14937797.000
122,-15131634.000
123,-15311862.000
124,-15499207.000
125,-15659955.000
126,-15772546.000
127,-15871426.000
128,-15966063.000
129,-16028008.000
130,-16075718.000
131,-16139432.000
132,-16202330.000
133,-16239754.000
134,-16273298.000
135,-16311776.000
136,-16338131.000
137,-16356472.000
138,-16379912.000
139,-16395810.000
140,-16402154.000
141,-16402869.000
142,-16403697.000
143,-16410902.000
144,-16414512.000
145,-16408435.000
146,-16409513.000
147,-16407460.000
148,-16397589.000
149,-16394360.000
150,-16404116.000
151,-16419366.000
152,-16432262.000
153,-16434457.000
154,-16430278.000
155,-16432803.000
156,-16437902.000
157,-16431851.000
158,-16420455.000
159,-16420273.000
160,-16421673.000
161,-16417297.000
162,-16412964.000
163,-16414067.000
164,-16415744.000
165,-16414845.000
166,-16424063.000
167,-16438527.000
168,-16444142.000
169,-16446850.000
170,-16447567.000
171,-16440902.000
172,-16430162.000
173,-16430703.000
174,-16440959.000
175,-16440327.000
176,-16427009.000
177,-16426085.000
178,-16434555.000
179,-16435962.000
180,-16434485.000
181,-16432865.000
182,-16428762.000
183,-16423524.000
184,-16426709.000
185,-16437269.000
186,-16441318.000
187,-16440774.000
188,-16441854.000
189,-16439078.000
190,-16429804.000
191,-16424495.000
192,-16430418.000
193,-16434520.000
194,-16429205.000
195,-16428394.000
196,-16436081.000
197,-16432935.000
198,-16416779.000
199,-16405832.000
200,-16407141.000
201,-16418388.000
202,-16426544.000
203,-16424973.000
204,-16429241.000
205,-16439705.000
206,-16446586.000
207,-16442649.000
208,-16427527.000
209,-16420882.000
210,-16430787.000
211,-16441199.000
212,-16441493.000
213,-16437855.000
214,-16438325.000
215,-16436544.000
216,-16429358.000
217,-16423462.000
218,-16427978.000
219,-16438657.000
220,-16438727.000
