x,intensity
0,-16447317.000
1,-16428916.000
2,-16418393.000
3,-16430715.000
4,-16438679.000
5,-16430626.000
6,-16416389.000
7,-16417486.000
8,-16433602.000
9,-16443929.000
10,-16438779.000
11,-16426203.000
12,-16427135.000
13,-16432150.000
14,-16422820.000
15,-16410144.000
16,-16396919.000
17,-16391860.000
18,-16408594.000
19,-16427650.000
20,-16426057.000
21,-16414850.000
22,-16418057.000
23,-16427864.000
24,-16429393.000
25,-16434948.000
26,-16443981.000
27,-16443052.000
28,-16439094.000
29,-16438170.000
30,-16442418.000
31,-16446442.000
32,-16441600.000
33,-16430447.000
34,-16427039.000
35,-16427940.000
36,-16421593.000
37,-16423658.000
38,-16430721.000
39,-16434514.000
40,-16438335.000
41,-16436548.000
42,-16430888.000
43,-16432788.000
44,-16439289.000
45,-16440411.000
46,-16443735.000
47,-16448587.000
48,-16450361.000
49,-16448432.000
50,-16439368.000
51,-16428197.000
52,-16425391.000
53,-16433059.000
54,-16442392.000
55,-16447027.000
56,-16442218.000
57,-16437457.000
58,-16442094.000
59,-16443245.000
60,-16437139.000
61,-16432218.000
62,-16429751.000
63,-16426823.000
64,-16430044.000
65,-16438527.000
66,-16443711.000
67,-16442715.000
68,-16438481.000
69,-16436649.000
70,-16436840.000
71,-16434782.000
72,-16431852.000
73,-16436687.000
74,-16443606.000
75,-16443493.000
76,-16444595.000
77,-16447198.000
78,-16440712.000
79,-16423653.000
80,-16415076.000
81,-16424427.000
82,-16433819.000
83,-16436777.000
84,-16442847.000
85,-16445822.000
86,-16439310.000
87,-16436240.000
88,-16441181.000
89,-16442183.000
90,-16435081.000
91,-16421437.000
92,-16414177.000
93,-16423160.000
94,-16433444.000
95,-16428638.000
96,-16412530.000
97,-16372238.000
98,-16187408.000
99,-15726931.000
100,-15044197.000
101,-14215715.000
102,-13232203.000
103,-12044275.000
104,-10763445.000
105,-9743005.000
106,-9310692.000
107,-9259143.000
108,-9141644.000
109,-9046373.000
110,-9121229.000
111,-9301805.000
112,-9632611.000
113,-10096911.000
114,-10626650.000
115,-11160481.000
116,-11548884.000
117,-11868774.000
118,-12281950.000
119,-12731892.000
120,-13116523.000
121,-13479223.000
122,-13825464.000
123,-14143879.000
124,-14459251.000
125,-14718200.000
126,-14910568.000
127,-15086883.000
128,-15251828.000
129,-15377203.000
130,-15476639.000
131,-15584599.000
132,-15702139.000
133,-15802729.000
134,-15886660.000
135,-15961778.000
136,-16022915.000
137,-16077278.000
138,-16134949.000
139,-16182813.000
140,-16213859.000
141,-16236447.000
142,-16254387.000
143,-16279082.000
144,-16302013.000
145,-16311987.000
146,-16326229.000
147,-16337099.000
148,-16332658.000
149,-16335169.000
150,-16354401.000
151,-16375919.000
152,-16391379.000
153,-16396834.000
154,-16396740.000
155,-16402323.000
156,-16411286.000
157,-16407020.000
158,-16399012.000
159,-16404317.000
160,-16409231.000
161,-16403333.000
162,-16398861.000
163,-16401131.000
164,-16403066.000
165,-16405418.000
166,-16416359.000
167,-16430376.000
168,-16433507.000
169,-16434173.000
170,-16436033.000
171,-16429245.000
172,-16417930.000
173,-16419723.000
